Location,Name,People_reached,Posts_edited,Upvotes,answer_votes,downvotes,helpful_tags,question_vote,this_month,user_id,votes_cast
Not Available,midspace,837k,0,,,,0,,,294393.0,60
Not Available,onefiscus,35k,0,,,,0,,,4996493.0,23
Not Available,Anne,165,0,,,,0,,,22908662.0,0
"Pune, Maharashtra, India",Debajit Majumder,83k,0,,,,0,,,5084280.0,120
Not Available,LeoBu,21,0,,,,0,,,22771546.0,0
"Oldenburg, Germany",Maik Hasler,55k,5,,,,17,,,16047487.0,494
"Melbourne, Victoria, Australia",Vlad,253k,3,,,,1,,,5651991.0,210
"San Francisco, CA",Ben G,3.0m,8,,,,2,,,378622.0,343
Not Available,user2450223,13k,0,,,,0,,,2450223.0,19
Not Available,Avi,417k,0,,,,1,,,1099731.0,39
Not Available,Jossy,226k,3,,,,0,,,11277108.0,"2,414"
Not Available,noureddine-as,24k,0,,,,1,,,8014623.0,13
UK,Sean M.,45k,0,,,,0,,,1447366.0,39
"Philadelphia, PA, USA",Matthew McPeak,1.4m,54,,,,8,,,5174436.0,"1,189"
Not Available,willshen,1k,0,,,,0,,,21983127.0,2
Not Available,undertakingyou,3k,0,,,,0,,,2371740.0,5
Not Available,katana,171,0,,,,0,,,21230836.0,0
"New York, NY",jedmatic,17k,0,,,,0,,,4202803.0,5
North Pole,Dumbo,3.2m,35,,,,1,,,658031.0,"1,330"
Earth,Nau,35k,0,,,,0,,,4286383.0,29
England,Matt,6.8m,"1,831",,,,865,,,2641576.0,"4,721"
Not Available,prd-ld,68,0,,,,0,,,23448010.0,0
Not Available,neoclar,20,0,,,,0,,,23451268.0,0
"Boston, MA, United States",ekofman,16k,0,,,,0,,,3534782.0,7
Not Available,hatim,18,0,,,,0,,,19587832.0,0
Not Available,yougs dnt,109,0,,,,0,,,20643218.0,0
Not Available,Abdulaziz Alqahtani,1k,0,,,,0,,,19995913.0,0
Not Available,JeremyNakano,0,0,,,,0,,,23451341.0,0
Not Available,Vale46,195,0,,,,0,,,23407777.0,0
Not Available,exfil,16,0,,,,0,,,21102708.0,0
New Zealand,Al Grant,360k,7,,,,1,,,5938276.0,394
Not Available,Divyanshu Jaiswal,30,0,,,,0,,,23445899.0,0
Japan,HSJ,29k,0,,,,0,,,6468467.0,48
Not Available,mjwach,159k,0,,,,0,,,1364776.0,"1,304"
Polska,Boguś,88,0,,,,0,,,23448130.0,3
Not Available,Edward Webb,2k,0,,,,0,,,15204115.0,2
Not Available,IlyaMaKeR,59,0,,,,0,,,23107621.0,0
"London, UK",Tobi Akinyemi,59k,1,,,,0,,,13683188.0,84
Tartan,Daraan,29k,153,,,,501,,,12439683.0,953
Not Available,NoName,1k,0,,,,0,,,19514162.0,0
Poland,Radek D,4k,1,,,,0,,,12191020.0,14
Not Available,Michael Kinder,26,0,,,,0,,,23451334.0,0
"Cincinnati, OH, United States",Del,3k,0,,,,0,,,5277903.0,44
Switzerland,Etan,2.8m,11,,,,2,,,151706.0,"1,322"
"Colombo, Sri Lanka",Sampath,10.4m,446,,,,35,,,1077309.0,"8,114"
Not Available,Simon Harmel,14k,0,,,,0,,,16762740.0,70
Not Available,Cosmin Butnarasu,27,0,,,,0,,,20426551.0,0
"Wilmington, DE, United States",Richard Sand,38k,0,,,,0,,,4296851.0,58
"Austin, TX",Peter Sun,277k,0,,,,0,,,2252502.0,2
"Cabedelo - PB, Brasil",Emmanuel P.,122k,3,,,,0,,,2028972.0,191
Not Available,Blazej Jabukowski,62,0,,,,0,,,23359083.0,0
Not Available,Matt Bowen,102,0,,,,0,,,23363038.0,0
Not Available,lanlanonearth,1k,0,,,,0,,,11210750.0,0
India,Santhosh,1.2m,4,,,,0,,,2897115.0,63
"Berlin, Germany",Kishor Unnikrishnan,1.0m,6,,,,0,,,6769349.0,394
"İstanbul, Turkey",Tugalsan Karabacak,14k,0,,,,0,,,1738007.0,182
Not Available,Damn Vegetables,1.1m,0,,,,1,,,455796.0,161
Netherlands / Spain,noloman,1.0m,14,,,,1,,,257948.0,"2,371"
"Colorado, USA",Bus42,6k,0,,,,0,,,6239683.0,54
Not Available,cothmer,130,0,,,,0,,,20504432.0,0
"Chennai, India",ANBARASAN ANBU,475,0,,,,0,,,5616768.0,0
"Chicago, IL",ShootThePuck91,23k,0,,,,0,,,3376067.0,0
Not Available,rolfsf,396k,0,,,,0,,,1949578.0,17
Not Available,andy,10k,0,,,,0,,,3245178.0,19
Not Available,Raşit Melih Dinçer,574,0,,,,0,,,22080515.0,12
Not Available,Alex Kas,87,0,,,,0,,,23338154.0,0
Not Available,Melendowski,23k,0,,,,0,,,9063378.0,125
"Chicago,IL",Micheal Palliparambil,310,0,,,,0,,,21988123.0,2
Not Available,yashikasingh,0,0,,,,0,,,23427984.0,0
Not Available,reuben,43,0,,,,0,,,23451215.0,0
Not Available,Christopher DeCurtins,21k,0,,,,0,,,12676369.0,90
"Marseille, France",nicover,65k,0,,,,0,,,12566751.0,335
Not Available,Frank,966,0,,,,0,,,16137803.0,0
Not Available,Danie A.x,0,0,,,,0,,,21054477.0,0
Not Available,Eric G,15k,0,,,,0,,,18091372.0,38
Not Available,Houssam Loukili,0,0,,,,0,,,10593450.0,0
Not Available,Shambala,7k,0,,,,0,,,13584912.0,15
Not Available,Andres Tinoco,84,0,,,,0,,,23224790.0,0
Not Available,Tim4812,3k,0,,,,0,,,13621767.0,0
Not Available,deekshith sai teja komira,18,0,,,,0,,,22576614.0,0
Not Available,nara son,85k,0,,,,0,,,6374129.0,0
China,xcsoft,14k,0,,,,0,,,15955766.0,1
Not Available,negar amiri,303,0,,,,0,,,22365592.0,0
Not Available,santoku,459k,2,,,,0,,,3983454.0,113
Not Available,Mefitico,108k,48,,,,102,,,3007075.0,232
Not Available,Madamadam,112k,0,,,,0,,,1116675.0,218
"Vancouver, BC, Canada",Alireza,351k,5,,,,4,,,742775.0,929
"Hamburg, Deutschland",Mathias Bader,1.4m,8,,,,4,,,1508529.0,"1,182"
Not Available,salim.elkh,2k,0,,,,0,,,20423723.0,3
Not Available,foozbar,0,0,,,,0,,,23451308.0,0
Not Available,ValueIsEmpty,8k,0,,,,0,,,11889735.0,3
Not Available,Rojalin Mohanty,30,0,,,,0,,,23450640.0,0
Tunisia,Yacine Ayechi,2k,0,,,,0,,,15976051.0,2
Not Available,pathfinder,2k,0,,,,0,,,11878539.0,0
Not Available,Rudeus123,104,0,,,,0,,,20736948.0,1
"Owosso, MI, USA",rogerdeuce,103k,212,,,,"2,610",,,4103496.0,"6,581"
Not Available,Zolomon,104,0,,,,0,,,22591031.0,0
Not Available,Robert Patrician,17k,0,,,,0,,,9878025.0,19
Canada,0xDario,278,0,,,,0,,,13350692.0,0
Not Available,Cameron Castillo,964k,1,,,,0,,,1208908.0,453
Not Available,Falcon,29,0,,,,0,,,23447843.0,0
Not Available,T.Rhodes,8k,0,,,,0,,,3298634.0,2
Brazil,Jorge Mauricio,362k,0,,,,0,,,2510785.0,485
India,Prims,119,0,,,,0,,,23421667.0,0
UK,joelatplay,842,0,,,,0,,,11898715.0,0
USA,Dr.J,77k,0,,,,0,,,13259612.0,43
Not Available,Sumit,7k,0,,,,0,,,1624242.0,4
"Amsterdam, Netherlands",Erik Nijland,95k,0,,,,0,,,2257851.0,115
Not Available,Michael Opton,324,0,,,,0,,,15593937.0,0
Not Available,babisa adumbire,393,0,,,,0,,,23269242.0,0
Not Available,Karlovsky120,588k,4,,,,3,,,1430705.0,291
Not Available,imnottima,0,0,,,,0,,,21380453.0,0
Not Available,Katherine Chau,2k,0,,,,0,,,19446408.0,11
Not Available,Logan,7k,0,,,,1,,,3106569.0,3
Not Available,Saviam,311,0,,,,0,,,20972651.0,0
"Lagos, Nigeria",emeka mamah,28k,0,,,,0,,,7080951.0,6
Not Available,David,0,0,,,,0,,,23450184.0,0
Not Available,Via4eslav Tka4enko,163,0,,,,0,,,23113614.0,0
Not Available,Dimi,46k,0,,,,0,,,7074172.0,1
Not Available,C_van3,1k,0,,,,0,,,10736796.0,2
Switzerland,phant0m,2.9m,543,,,,36,,,383124.0,"1,053"
Not Available,Rayqvaza,107,0,,,,0,,,23345405.0,1
Not Available,Mike Dee,32k,0,,,,0,,,2469118.0,30
"Al Bayda, Libya",Omar Heaba,13k,0,,,,0,,,10954680.0,146
Not Available,Saqib Ali,2k,0,,,,0,,,22188817.0,2
Not Available,Elijah,110,0,,,,0,,,10909074.0,0
"Miami, FL",Julie,9k,1,,,,0,,,4122863.0,1
"Beckley, WV, United States",mrpatg,2.1m,3,,,,0,,,115949.0,537
Not Available,Vinay Verma,4k,0,,,,0,,,23413553.0,1
Not Available,Emmsan,41,0,,,,0,,,23448663.0,0
Germany,Christian,57k,0,,,,0,,,10847224.0,214
Not Available,Carol Crawley,38,0,,,,0,,,19162317.0,0
Not Available,Sassa,100k,0,,,,0,,,969295.0,20
"Sydney NSW, Australia",NomadAU,44,0,,,,0,,,21638391.0,0
Not Available,greenoldman,3.3m,17,,,,25,,,210342.0,"6,798"
Not Available,Wakethenoob,519,0,,,,0,,,23448839.0,1
Sri Lanka,Suresh Suji,2k,0,,,,0,,,12964760.0,0
Not Available,CaseyHofland,31k,1,,,,0,,,8966605.0,48
"Detroit, MI, United States",Dan Cancro,321k,1,,,,0,,,1941430.0,281
Not Available,xSkolz,3k,0,,,,0,,,19845610.0,14
Not Available,Max Neumann,379,0,,,,0,,,19534180.0,0
Not Available,Researcher,8k,0,,,,0,,,7043724.0,9
"Charlotte, NC, USA",JSON Brody,56k,7,,,,3,,,10094995.0,28
"England, United Kingdom",markblue777,93k,0,,,,0,,,102324.0,22
USA,Fattie,18.7m,"1,281",,,,284,,,294884.0,"8,203"
"Ahmedabad, India",Rakesh Jesadiya,25k,0,,,,0,,,4919600.0,478
Not Available,IamaNOOB,74,0,,,,0,,,23451276.0,0
France,Hicham Bouchikhi,37k,44,,,,7,,,2954082.0,674
Not Available,zalmy touger,110,0,,,,0,,,23443823.0,0
London,Maya,181k,0,,,,8,,,272414.0,101
Not Available,rk___,3k,0,,,,0,,,18118741.0,3
Not Available,Matt,54k,0,,,,0,,,3611473.0,0
Not Available,You,28,0,,,,0,,,23450892.0,0
"Gurgaon, Haryana, India",smiti,2k,0,,,,0,,,14581667.0,8
Not Available,Penguin,269k,0,,,,3,,,14735451.0,204
Not Available,Sam1231,44,0,,,,0,,,23450852.0,0
Not Available,Jarn Schöber,7k,0,,,,0,,,11825057.0,85
Not Available,user8087010,2k,0,,,,0,,,8087010.0,1
Not Available,Coman Vladut,2k,0,,,,0,,,16689700.0,0
Not Available,Peter Kohari,81,0,,,,0,,,23451258.0,0
Not Available,Nandita,17k,0,,,,0,,,16376798.0,31
Not Available,Cristina Balemi,20,0,,,,0,,,23449699.0,0
Not Available,Hosdgfag2,9k,0,,,,0,,,4786617.0,1
Not Available,StackExchangeGuy,88k,0,,,,0,,,2998572.0,36
Not Available,Sajan Alex,97k,0,,,,0,,,15889775.0,11
"İstanbul, Türkiye",Muzaffer Galata,142k,3,,,,3,,,1068246.0,546
"Delhi, India",M Coder,1k,0,,,,0,,,14849557.0,4
Not Available,RDH,2k,0,,,,0,,,5748239.0,1
Not Available,astralvampx,254,0,,,,0,,,23326693.0,3
Not Available,user3516915,445,0,,,,0,,,3516915.0,4
Not Available,Jesse Moreland,81k,0,,,,0,,,2252962.0,39
California,Sam Kong,496k,0,,,,0,,,108000.0,163
Czech Republic,bezouskat,23,0,,,,0,,,11444217.0,0
"Vienna, Österreich",Damir Duric,34,0,,,,0,,,14072574.0,0
Ubuntu,JJD,8.8m,"1,651",,,,16,,,356895.0,"2,821"
Not Available,Trent Hardy,636,0,,,,0,,,10672932.0,0
Not Available,Jemin Jose,84k,0,,,,0,,,9908905.0,0
Not Available,user10529827,79,0,,,,0,,,10529827.0,0
Not Available,John Reilly,7k,0,,,,0,,,5905442.0,0
Not Available,Julien Berthoud,64k,0,,,,0,,,10991651.0,43
Not Available,TheBigStivz,120,0,,,,0,,,20908293.0,0
Not Available,ProfessorBenz,79,0,,,,0,,,23450502.0,1
Not Available,K.N,110k,0,,,,0,,,10575373.0,21
Not Available,Ryan Wesley,40,0,,,,0,,,23444951.0,0
"Phoenix, AZ",Iron Man,64k,13,,,,1,,,5596937.0,828
Not Available,user30985,74k,0,,,,0,,,3750694.0,28
Not Available,Anthony,25,0,,,,0,,,23450209.0,0
Not Available,YakoYakee,178,0,,,,0,,,19581342.0,0
"Atlanta, GA USA",K.Nicholas,1.7m,169,,,,210,,,3795036.0,860
CAN,JimmyBanks,594k,9,,,,22,,,1187891.0,303
"Waterloo,Ontario",Nexo,90k,158,,,,0,,,11850259.0,868
USA,D C,137k,0,,,,1,,,3327047.0,224
"Muzaffarpur, Bihar, India",Ishaan Kapoor,1.4m,0,,,,0,,,14389165.0,20
Not Available,aqwek_,85,0,,,,0,,,23444606.0,0
London,DaraJ,267k,10,,,,10,,,589921.0,425
Not Available,ASG,4k,0,,,,0,,,2325378.0,0
"Bangalore, Karnataka, India",shwetha,29,0,,,,0,,,12583411.0,0
"St. Clair Shores, MI",Mark Avenius,2.8m,18,,,,0,,,467210.0,"1,843"
Not Available,arm,37,0,,,,0,,,23450159.0,0
Not Available,May,64,0,,,,0,,,23451087.0,0
"Suffern, NY, USA",Yossi G.,81k,0,,,,0,,,9479959.0,80
Switzerland,perissf,2.2m,64,,,,16,,,870122.0,"1,516"
Not Available,Danylo Kuznetsov,89,0,,,,0,,,22368663.0,0
Not Available,Angad Bandal,788,0,,,,0,,,19876506.0,0
Not Available,Nguyễn Trường Sơn,3k,0,,,,0,,,2510840.0,2
Not Available,nanuuq,13k,0,,,,0,,,3157070.0,8
Not Available,AdaLovee,79,0,,,,0,,,19887750.0,1
Not Available,Merlock,51,0,,,,0,,,19744271.0,0
Sweden,Linus,199k,0,,,,0,,,650711.0,21
Not Available,Holy Rock,6k,0,,,,0,,,22180395.0,4
Not Available,bastiag5,822,0,,,,0,,,15539760.0,4
Not Available,Nick H,33k,0,,,,0,,,5464920.0,13
Not Available,Mohd Faizan,0,0,,,,0,,,23448207.0,0
Not Available,OetkenPurveyorOfCode,187,0,,,,0,,,19685524.0,0
Not Available,JM Lord,284k,15,,,,4,,,3519951.0,125
Not Available,TGM,54,0,,,,0,,,23437177.0,0
Not Available,lbrettsinclair,4k,0,,,,0,,,17480951.0,3
Not Available,Wali ahmed,6k,0,,,,0,,,22106352.0,0
Not Available,dycadmin,29,0,,,,0,,,23448547.0,0
Not Available,Valentina Isbasoiu,16,0,,,,0,,,23450627.0,0
Not Available,Akash Shinde,12k,0,,,,0,,,4822165.0,0
Brazil,Édipo Féderle,556k,1,,,,0,,,428691.0,32
Not Available,CreatoMan,74,0,,,,0,,,21400563.0,0
"Paris, France",ChrisW,9.5m,182,,,,37,,,49942.0,"2,443"
"Santiago de Compostela, España",César Arquero Cabral,37k,1,,,,2,,,8088519.0,357
"Chicago, IL",Isaac G Sivaa,95k,146,,,,257,,,3557336.0,"1,428"
Not Available,Buddhi Sagar Panjiyar,39,0,,,,0,,,23198768.0,0
Not Available,Dima,9k,1,,,,0,,,2086922.0,85
"Saint Petersburg, Russia",Damir Tenishev,22k,0,,,,9,,,15302740.0,107
Not Available,Shiny_Wil,44,0,,,,0,,,23450325.0,0
Not Available,yojozaok21,287,0,,,,0,,,20055929.0,2
Not Available,silver2,20,0,,,,0,,,17126511.0,0
Not Available,Mark Kortink,1.2m,0,,,,0,,,7578588.0,74
Not Available,alson,294,0,,,,0,,,22336156.0,3
"Bristol, United Kingdom",Paul Masri-Stone,1.5m,16,,,,1,,,457584.0,648
Not Available,PhewphewMathew,2k,0,,,,0,,,13293075.0,4
"Hawaii, United States",Kai Keanaaina,11k,0,,,,0,,,6134022.0,10
Not Available,Faiza,3k,0,,,,0,,,6255619.0,0
Not Available,RKD,77k,0,,,,0,,,4187452.0,1
"Reston, VA, United States",Levi Wallach,46k,0,,,,0,,,773648.0,40
Not Available,LordRA,3k,0,,,,0,,,10575928.0,0
Not Available,Yusuf,61,0,,,,0,,,23443506.0,0
"Prague, Česko",no_named_nobody,371,0,,,,0,,,12426107.0,8
"New Delhi, India",HKS,97k,2,,,,0,,,9409877.0,13
Not Available,Johny E,13k,0,,,,0,,,6803589.0,0
Not Available,Furious Gamer,55k,0,,,,0,,,1977508.0,19
Not Available,Hayden,62k,0,,,,0,,,1613372.0,3
Not Available,Dominik,0,0,,,,0,,,23450914.0,0
Not Available,fabours,1k,0,,,,0,,,7384871.0,0
Not Available,BigBellyBigDreams,4k,0,,,,0,,,13361631.0,0
Not Available,LacrhymoseL,752,0,,,,0,,,20294510.0,0
"Mexico City, CDMX, Mexico",Alfredo Morales,7k,0,,,,1,,,11714220.0,65
Not Available,Avigail Moko,16,0,,,,0,,,23443983.0,0
Not Available,Andrew,128,0,,,,0,,,23421130.0,0
Not Available,Lemmek,78,0,,,,0,,,23323098.0,0
"Baku, Azerbaijan",Ziya Safar,44,0,,,,0,,,18081136.0,0
Not Available,James,19k,0,,,,0,,,696702.0,0
Not Available,GnidaPIvnov,26,0,,,,0,,,21206108.0,0
Not Available,Keith,296k,0,,,,0,,,6421708.0,14
Not Available,Jatan Choudhary,37,0,,,,0,,,14949636.0,0
Not Available,e_wards,402,0,,,,0,,,22869523.0,0
Not Available,Gunnar Bock,169,0,,,,0,,,16917119.0,0
Not Available,Sergey Alikin,10k,0,,,,0,,,2214381.0,32
Not Available,CHALOULI Rachid,81,0,,,,0,,,23450720.0,0
Not Available,Zorann,21k,0,,,,0,,,6500450.0,250
"Zürich, Switzerland",BarsMonster,870k,0,,,,0,,,250540.0,144
Colombia,cesarpachon,103k,0,,,,0,,,2836278.0,75
Not Available,user23440631,0,0,,,,0,,,23440631.0,0
Germany,Thomas Weller,3.0m,"1,023",,,,"1,134",,,480982.0,"6,132"
Not Available,Zielsucher,29,0,,,,0,,,23441294.0,0
Not Available,op1,63,0,,,,0,,,23304329.0,0
"Nagykanizsa, Magyarország",Adrián Varga,17k,0,,,,0,,,7672244.0,5
Not Available,naehyungkim,3k,0,,,,0,,,15350898.0,0
Not Available,M.K BALAJI COT,1k,0,,,,0,,,3921066.0,0
"Balatonboglár, Hungary",Wasyster,440k,1,,,,0,,,2080603.0,37
Not Available,Whimusical,788k,4,,,,0,,,1352530.0,"1,470"
Not Available,Spezi Hunter,0,0,,,,0,,,22688815.0,0
Not Available,Rapid1898,90k,0,,,,0,,,12415855.0,163
Not Available,shubham tiwari,614,0,,,,0,,,17824085.0,4
"Kochi, Kerala, India",Aswin S P,100,0,,,,0,,,14261543.0,0
"York, United Kingdom",Charles Anderson,1.3m,8,,,,0,,,11677.0,580
Germany,Bersan,4.9m,0,,,,2,,,2076973.0,474
Not Available,Yvonne Berden,54,0,,,,0,,,20283655.0,0
Not Available,Marshmallow,77,0,,,,0,,,23398807.0,0
Not Available,Duck Dodgers,18k,0,,,,0,,,6943622.0,515
Not Available,Jonny,18k,1,,,,0,,,4005128.0,39
Not Available,tester11,4k,0,,,,0,,,16767528.0,128
Not Available,mitkees,42,0,,,,0,,,23450993.0,0
"Mostar, BiH",Admir Husić,5k,0,,,,0,,,6430187.0,100
Not Available,Alex Green,597k,0,,,,0,,,7105922.0,123
Not Available,mzcoxfde,9k,0,,,,0,,,6376508.0,39
Not Available,Vagabond,36,0,,,,0,,,23451186.0,0
Not Available,user3765883,5k,0,,,,0,,,3765883.0,3
United Kingdom,Ashley Finlayson,2k,0,,,,0,,,2107512.0,11
Costa Rica,Roberto Hernandez,18k,0,,,,0,,,5116109.0,33
Not Available,Simo Bel-assal,34,0,,,,0,,,23014576.0,0
Not Available,Laurent,764k,4,,,,1,,,10786.0,913
Not Available,user3188777,8k,0,,,,0,,,3188777.0,10
Not Available,user22394410,17,0,,,,0,,,22394410.0,0
Not Available,baudneo,1k,0,,,,0,,,16999186.0,0
Not Available,dev,22,0,,,,0,,,23450343.0,0
Not Available,DONGMO BERNARD GERAUD,8k,0,,,,0,,,13503258.0,4
United States,Jake Henry,10k,0,,,,2,,,5978561.0,56
Not Available,KA Developer,50,0,,,,0,,,1784173.0,0
Not Available,Nikodem,0,0,,,,0,,,23451126.0,0
"Dhaka, Bangladesh",Ferdous Wahid,1.6m,0,,,,4,,,2828176.0,852
Netherlands,Deddiekoel,210k,0,,,,0,,,288187.0,70
Not Available,sajid,16k,0,,,,0,,,4167213.0,4
"Christchurch, New Zealand",WebSight,76k,0,,,,0,,,2723463.0,12
Not Available,Krishna,1k,0,,,,0,,,16813071.0,0
USA,helloworldlevel,14k,0,,,,0,,,8799139.0,19
Not Available,jameslee5656,10k,0,,,,0,,,16260373.0,0
Romania,Ionică Bizău,15.1m,852,,,,851,,,1420197.0,"5,605"
Not Available,Edward D,0,0,,,,0,,,17381163.0,0
"Bengaluru, India",Satya,1.3m,1,,,,0,,,5533254.0,225
"Bangalore, India",Luther,79k,0,,,,0,,,11797105.0,7
Not Available,Ted,209k,0,,,,3,,,2189708.0,30
"Satgaon Main Road, Pathar Quarry, Guwahati, Assam, India",Manish Boro,119,0,,,,0,,,11780369.0,0
Not Available,Vishal Bulbule,10k,0,,,,0,,,18385064.0,1
Not Available,user3065266,922,0,,,,0,,,3065266.0,0
Not Available,Rnsnceman,0,0,,,,0,,,23451073.0,0
"Charlotte, NC",Chris Barr,3.5m,393,,,,10,,,79677.0,"2,249"
Not Available,Casey Donnell,0,0,,,,0,,,23451201.0,0
Not Available,vasu,8k,0,,,,0,,,1737273.0,4
Not Available,AlbertCory,35,0,,,,0,,,17263314.0,0
Not Available,Levi Santos,105,0,,,,0,,,21149176.0,1
"Boston, MA",Alex,1.3m,0,,,,0,,,417291.0,169
"New York, NY, United States",manutdfan,32k,0,,,,0,,,5379866.0,24
Not Available,MartinTTS,3k,0,,,,0,,,21735360.0,130
Not Available,Fabrizio Ciavatta,179,0,,,,0,,,23298803.0,0
Oklahoma,Okie4ever,66,0,,,,0,,,23139706.0,0
Not Available,exumablue,194,0,,,,0,,,21223239.0,1
Not Available,Yotam Biran,0,0,,,,0,,,23451176.0,0
Poland,Marcin,360,0,,,,0,,,21149846.0,0
Not Available,user3376956,4k,0,,,,0,,,3376956.0,0
Not Available,007Chill,104,0,,,,0,,,4621235.0,0
"Hyderabad, Telangana, India",kalyan pavan kumar kamineni,172,0,,,,0,,,12020016.0,0
Not Available,Erwin Kloibhofer,5k,0,,,,0,,,4477781.0,6
Not Available,Dino Pebenito,35,0,,,,0,,,21710727.0,0
Not Available,iexav,565,0,,,,0,,,22154996.0,0
Not Available,Thiago Fernandes,21,0,,,,0,,,17205642.0,0
Not Available,Madhusudan,14,0,,,,0,,,21334847.0,0
India,bipvan,5k,0,,,,0,,,3614819.0,12
Earth,David Yue,61k,9,,,,12,,,4706222.0,186
Egypt,Jimmy Bower,16k,0,,,,0,,,11380501.0,2
"Berlin, Germany",Sid Shukla,153k,7,,,,1,,,2820419.0,182
Not Available,Razmode,6k,0,,,,0,,,7418868.0,10
Not Available,Pascal R.,16,0,,,,0,,,22120364.0,0
Not Available,Fairytail52,32,0,,,,0,,,14999667.0,0
Not Available,marcosbc,113,0,,,,0,,,21407523.0,0
Not Available,prasanna kumar,55k,0,,,,0,,,9385748.0,1
Not Available,bluecat,269,0,,,,0,,,17514918.0,0
"Moscow, Russia",EssentialMarie,107,0,,,,0,,,17731494.0,8
Germany,Anakin,243,0,,,,0,,,13672646.0,0
Not Available,Nimm8011,38,0,,,,0,,,23451138.0,0
Not Available,Cole,30k,0,,,,0,,,16717043.0,0
Not Available,alfaprogramer,163,0,,,,0,,,23144623.0,0
"Davao City, Philippines",Rene Padillo,517k,0,,,,0,,,2906350.0,94
Not Available,AR-7,173,0,,,,0,,,23367286.0,0
America,Cman,6k,0,,,,0,,,14894746.0,0
Not Available,Akhilesh mahajan,2k,0,,,,0,,,13410380.0,1
"London, United Kingdom",Dan Lewer,192k,0,,,,2,,,3006322.0,95
Not Available,Bear Bile Farming is Torture,408k,1,,,,0,,,5432156.0,447
Not Available,Nico van Bentum,18k,0,,,,0,,,9288772.0,20
Not Available,Vaibhav Patel,44,0,,,,0,,,23451152.0,0
"Williamsburg, VA, United States",Martin Andersson,6.2m,24,,,,6,,,1268003.0,507
Not Available,Venkatesh,15k,0,,,,0,,,17155606.0,7
Not Available,Kraken,3.9m,2,,,,1,,,216190.0,549
Not Available,Starkers,5.0m,7,,,,7,,,2069715.0,"1,072"
Not Available,Rex,2k,0,,,,0,,,14387856.0,0
Not Available,Majid,106,0,,,,0,,,21822208.0,0
Not Available,Jero Augurusa,87,0,,,,0,,,23450995.0,0
Not Available,Roey,2.5m,0,,,,0,,,314905.0,94
"Bangalore, India",Cherian,2.7m,19,,,,2,,,22039.0,"1,219"
"Xalapa, Ver., Mexico",JarochoEngineer,223k,1,,,,0,,,4538768.0,161
Canada,Scott,25k,0,,,,0,,,11522265.0,12
Turkey,groophy lifefor,510,0,,,,0,,,19374382.0,3
Not Available,cheezit97,20k,0,,,,0,,,15663311.0,2
Not Available,Hasan A Yousef,7.3m,86,,,,8,,,2441637.0,"1,865"
Not Available,Neil Gibson,292,0,,,,0,,,15286149.0,0
Not Available,Ajith,25,0,,,,0,,,23451109.0,0
Not Available,Khan,114k,2,,,,0,,,5905678.0,363
Tokyo,NaNash,8k,0,,,,0,,,4884509.0,17
Austria,Stefan Falk,3.4m,540,,,,48,,,826983.0,"2,278"
Not Available,burriad,1k,0,,,,0,,,2542825.0,0
"Tampa, FL",Dean MacGregor,1.1m,114,,,,20,,,1818713.0,919
Not Available,z_axis,301k,0,,,,0,,,777131.0,196
"Johannesburg, South Africa",Siphiwe Gwebu,26k,0,,,,0,,,941991.0,58
Switzerland,appa,18,0,,,,0,,,19288911.0,0
